supplierName,seedType,region,price,rating,distance_km,stock,deliveryTime_days,organicCertified,reviews,
Land mark agro Seeds,Cabbage Seed,Anuradhapura,6754,4.2,37,664,1,FALSE,479,9222.4
Green Harvest Agriculture,Pumpkin Seed,Kandy,5791,4.4,6,517,5,TRUE,160,8751.6
Janogali,Potato Seed,Ampara,6858,4.1,8,497,2,TRUE,32,8093.8
Saduthara Plant nursery,Potato Seed,Nuwara Eliya,5707,3.9,3,174,4,FALSE,244,5430.2
Land mark agro Seeds,Potato Seed,Ampara,7811,4.5,46,651,3,FALSE,251,8480.6
Land mark agro Seeds,Corn Seed,Kurunegala,4426,4.9,43,54,5,FALSE,99,3912.6
Purahanda Enterprises,Rice Seed,Anuradhapura,3546,3.6,29,442,3,FALSE,245,8463.6
Green Grove Fertilizer,Carrot Seed,Kandy,7050,3.7,7,400,4,TRUE,349,7079.0
Green Grove Fertilizer,Pumpkin Seed,Monaragala,4185,3.7,34,203,1,TRUE,290,5715.0
Land mark agro Seeds,Corn Seed,Colombo,4663,4.7,3,295,1,FALSE,486,7033.8
Green Harvest Agriculture,Potato Seed,Polonnaruwa,8454,4.7,30,606,1,TRUE,24,8087.4
Janogali,Onion Seed,Matale,7670,4.8,22,382,4,TRUE,405,6318.0
Saduthara Plant nursery,Carrot Seed,Badulla,5668,4.6,60,441,3,TRUE,167,6954.8
Land mark agro Seeds,Chili Seed,Monaragala,5584,3.6,41,176,3,FALSE,31,4748.4
Land mark agro Seeds,Potato Seed,Hambantota,6554,4.6,4,636,2,FALSE,407,9670.4
Purahanda Enterprises,Carrot Seed,Jaffna,7771,3.7,47,182,1,FALSE,465,3810.6
Green Grove Fertilizer,Corn Seed,Kandy,3604,3.8,3,444,1,FALSE,422,8974.4
Land mark agro Seeds,Carrot Seed,Galle,6470,4.8,13,448,4,FALSE,293,7638.0
Green Harvest Agriculture,Bean Seed,Nuwara Eliya,4391,3.6,13,377,3,FALSE,122,7795.6
Janogali,Chili Seed,Galle,6674,3.6,15,616,2,FALSE,168,9232.4
Saduthara Plant nursery,Bean Seed,Matara,6017,4.8,11,318,2,FALSE,77,6559.2
Land mark agro Seeds,Chili Seed,Matale,6486,4.1,58,645,2,TRUE,36,8722.6
Land mark agro Seeds,Bean Seed,Polonnaruwa,6251,5.0,21,74,4,FALSE,487,3819.6
Purahanda Enterprises,Bean Seed,Matale,3840,4.5,41,530,4,FALSE,311,8959.0
Green Grove Fertilizer,Corn Seed,Anuradhapura,3970,3.7,15,490,1,FALSE,427,9051.0
Land mark agro Seeds,Tomato Seed,Ratnapura,5526,4.5,20,545,3,FALSE,148,8854.6
Green Harvest Agriculture,Potato Seed,Jaffna,6796,4.3,10,439,5,TRUE,64,7492.6
Janogali,Rice Seed,Hambantota,5429,4.2,44,665,3,FALSE,490,9622.4
Saduthara Plant nursery,Chili Seed,Colombo,5497,4.0,52,365,5,TRUE,481,6441.2
Land mark agro Seeds,Rice Seed,Hambantota,4484,4.0,44,673,1,TRUE,54,10086.4
Land mark agro Seeds,Carrot Seed,Jaffna,7055,3.6,59,414,1,TRUE,313,6180.0
Purahanda Enterprises,Pumpkin Seed,Hambantota,5920,4.4,48,159,4,FALSE,406,4280.0
Green Grove Fertilizer,Corn Seed,Kandy,3175,4.6,33,131,2,TRUE,44,5392.0
Land mark agro Seeds,Carrot Seed,Kandy,4758,4.2,45,143,2,FALSE,189,4650.8
Green Harvest Agriculture,Cabbage Seed,Nuwara Eliya,4696,4.4,36,53,2,TRUE,257,3949.6
Janogali,Chili Seed,Kurunegala,6392,4.9,38,548,5,FALSE,70,8166.2
Saduthara Plant nursery,Carrot Seed,Badulla,7273,3.7,38,575,2,FALSE,145,8119.8
Land mark agro Seeds,Pumpkin Seed,Kandy,6732,3.5,47,179,1,FALSE,232,4202.2
Land mark agro Seeds,Bean Seed,Ratnapura,4782,3.8,35,220,5,FALSE,352,5623.2
Purahanda Enterprises,Tomato Seed,Ampara,7105,4.9,3,130,5,FALSE,309,4401.0
Green Grove Fertilizer,Carrot Seed,Jaffna,4603,4.6,23,266,2,FALSE,419,6370.8
Land mark agro Seeds,Onion Seed,Monaragala,8355,4.5,19,609,4,TRUE,449,8383.0
Green Harvest Agriculture,Chili Seed,Matale,4909,4.6,59,683,5,TRUE,382,9698.4
Janogali,Cabbage Seed,Ampara,6887,5.0,40,428,1,TRUE,16,6725.2
Saduthara Plant nursery,Tomato Seed,Badulla,5422,3.7,10,225,1,FALSE,425,5920.2
Land mark agro Seeds,Bean Seed,Anuradhapura,5883,4.2,53,590,5,FALSE,73,8510.8
Land mark agro Seeds,Chili Seed,Polonnaruwa,6324,4.4,16,665,3,TRUE,319,9818.4
Purahanda Enterprises,Corn Seed,Colombo,3868,4.9,41,180,1,TRUE,76,5435.8
Green Grove Fertilizer,Potato Seed,Matale,6533,3.9,24,274,4,TRUE,225,5679.8
Land mark agro Seeds,Tomato Seed,Colombo,5219,4.9,14,655,4,TRUE,111,10185.4
Green Harvest Agriculture,Chili Seed,Matara,5564,4.1,50,198,1,TRUE,48,4781.4
Janogali,Bean Seed,Colombo,5539,4.4,43,641,2,TRUE,380,9352.4
Saduthara Plant nursery,Rice Seed,Colombo,4073,3.7,47,53,4,FALSE,464,3999.8
Land mark agro Seeds,Potato Seed,Ratnapura,6023,4.7,14,195,3,FALSE,396,5269.8
Land mark agro Seeds,Potato Seed,Colombo,5776,3.9,18,659,1,FALSE,103,9952.6
Purahanda Enterprises,Pumpkin Seed,Hambantota,4700,3.8,10,63,2,TRUE,152,4586.0
Green Grove Fertilizer,Rice Seed,Colombo,4006,4.9,34,655,4,TRUE,289,10270.6
Land mark agro Seeds,Pumpkin Seed,Hambantota,5782,3.8,52,230,3,FALSE,118,4983.2
Green Harvest Agriculture,Potato Seed,Anuradhapura,7719,3.7,40,574,3,TRUE,161,7891.4
Janogali,Bean Seed,Polonnaruwa,5345,3.6,10,300,4,TRUE,400,6704.0
Saduthara Plant nursery,Corn Seed,Matale,3831,4.1,42,628,4,FALSE,131,9934.6
Land mark agro Seeds,Tomato Seed,Polonnaruwa,4829,4.4,30,465,2,TRUE,340,8136.4
Land mark agro Seeds,Potato Seed,Ratnapura,7863,4.6,15,208,4,TRUE,211,4646.8
Purahanda Enterprises,Corn Seed,Monaragala,4909,3.6,4,548,3,TRUE,34,9478.4
Green Grove Fertilizer,Tomato Seed,Monaragala,5241,4.3,49,470,5,FALSE,66,7644.6
Land mark agro Seeds,Corn Seed,Hambantota,4329,4.3,54,207,4,TRUE,113,5279.4
Green Harvest Agriculture,Carrot Seed,Kandy,7749,4.3,58,112,2,FALSE,18,2881.4
Janogali,Potato Seed,Galle,6697,3.8,10,501,2,FALSE,141,8167.2
Saduthara Plant nursery,Potato Seed,Colombo,7707,3.9,2,59,2,FALSE,43,3500.2
Land mark agro Seeds,Potato Seed,Nuwara Eliya,8086,3.5,54,116,4,FALSE,190,2890.6
Land mark agro Seeds,Tomato Seed,Badulla,5126,4.9,8,301,3,TRUE,415,6802.6
Purahanda Enterprises,Carrot Seed,Badulla,4550,3.7,3,579,4,FALSE,60,9949.0
Green Grove Fertilizer,Potato Seed,Jaffna,7995,4.7,33,229,1,FALSE,406,4441.0
Land mark agro Seeds,Bean Seed,Colombo,4896,4.6,52,683,2,TRUE,212,9843.6
Green Harvest Agriculture,Potato Seed,Badulla,6287,3.6,47,389,5,TRUE,365,6477.2
Janogali,Chili Seed,Kurunegala,6432,4.6,38,409,5,FALSE,123,6769.2
Saduthara Plant nursery,Corn Seed,Matale,3541,4.7,12,251,4,TRUE,344,6862.6
Land mark agro Seeds,Pumpkin Seed,Ratnapura,5569,4.6,33,613,4,TRUE,37,9254.4
Land mark agro Seeds,Onion Seed,Kandy,5111,3.8,46,444,1,FALSE,470,7511.6
Purahanda Enterprises,Rice Seed,Polonnaruwa,4731,4.0,59,487,3,TRUE,199,7827.6
Green Grove Fertilizer,Onion Seed,Matara,5970,4.9,21,321,2,FALSE,142,6405.0
Land mark agro Seeds,Rice Seed,Ratnapura,5291,4.9,50,498,4,FALSE,58,7866.6
Green Harvest Agriculture,Pumpkin Seed,Ampara,5019,4.8,30,590,2,TRUE,291,9298.4
Janogali,Tomato Seed,Kandy,4523,4.7,28,122,2,TRUE,29,4859.8
Saduthara Plant nursery,Rice Seed,Hambantota,5012,3.5,29,693,1,FALSE,464,10390.2
Land mark agro Seeds,Onion Seed,Kandy,8494,4.1,54,358,3,TRUE,300,5129.4
Land mark agro Seeds,Potato Seed,Ampara,5659,3.7,60,571,5,FALSE,397,8285.4
Purahanda Enterprises,Rice Seed,Ampara,5024,4.3,31,250,1,TRUE,132,5891.4
Green Grove Fertilizer,Onion Seed,Polonnaruwa,5322,3.7,10,677,4,FALSE,227,10480.2
Land mark agro Seeds,Tomato Seed,Jaffna,4622,3.6,30,380,3,TRUE,214,7393.2
Green Harvest Agriculture,Carrot Seed,Anuradhapura,5148,4.3,39,302,1,TRUE,474,6201.8
Janogali,Tomato Seed,Badulla,6273,3.9,50,275,4,TRUE,83,5273.8
Saduthara Plant nursery,Tomato Seed,Matale,6539,3.7,49,59,5,FALSE,174,3033.4
Land mark agro Seeds,Bean Seed,Matara,6410,4.1,30,467,1,FALSE,206,7533.0
Land mark agro Seeds,Potato Seed,Colombo,7877,4.4,46,695,3,TRUE,244,8897.2
Purahanda Enterprises,Chili Seed,Matale,6221,4.0,9,66,5,FALSE,353,4021.6
Green Grove Fertilizer,Chili Seed,Jaffna,4656,3.8,48,561,3,TRUE,30,8823.6
Land mark agro Seeds,Cabbage Seed,Hambantota,6039,4.2,3,621,2,FALSE,280,9758.4
Green Harvest Agriculture,Cabbage Seed,Jaffna,4195,4.6,18,400,2,FALSE,326,7974.0
Janogali,Chili Seed,Monaragala,5985,3.9,12,580,1,TRUE,107,9199.0
Saduthara Plant nursery,Corn Seed,Hambantota,4697,4.5,34,431,3,FALSE,494,7766.2
Land mark agro Seeds,Cabbage Seed,Galle,6652,4.6,48,165,3,FALSE,477,4041.2
Land mark agro Seeds,Potato Seed,Jaffna,8373,4.9,19,71,1,TRUE,440,2983.8
Purahanda Enterprises,Potato Seed,Kandy,7615,4.4,30,231,3,FALSE,77,4682.0
Green Grove Fertilizer,Carrot Seed,Colombo,7082,4.4,40,637,3,TRUE,104,8755.2
Land mark agro Seeds,Pumpkin Seed,Nuwara Eliya,5896,4.6,20,242,1,FALSE,50,5673.6
Green Harvest Agriculture,Cabbage Seed,Polonnaruwa,5860,4.6,59,409,2,TRUE,241,6578.0
Janogali,Onion Seed,Nuwara Eliya,5927,4.7,28,164,3,FALSE,472,4718.2
Saduthara Plant nursery,Tomato Seed,Anuradhapura,6048,5.0,7,218,5,FALSE,136,5620.8
Land mark agro Seeds,Carrot Seed,Badulla,6998,4.2,35,563,5,FALSE,66,8154.8
Land mark agro Seeds,Rice Seed,Colombo,4821,4.9,33,583,1,FALSE,39,9244.6
Purahanda Enterprises,Bean Seed,Monaragala,6040,4.1,47,438,2,FALSE,202,7051.0
Green Grove Fertilizer,Onion Seed,Galle,6372,3.6,60,648,1,FALSE,92,8773.2
Land mark agro Seeds,Corn Seed,Matale,3897,4.7,28,348,1,FALSE,310,7370.2
Green Harvest Agriculture,Chili Seed,Nuwara Eliya,4441,4.1,4,469,5,TRUE,442,8860.6
Janogali,Corn Seed,Galle,3466,3.6,40,413,1,FALSE,452,7985.6
Saduthara Plant nursery,Tomato Seed,Jaffna,5342,4.4,32,302,4,TRUE,371,6261.2
Land mark agro Seeds,Pumpkin Seed,Anuradhapura,5214,3.6,6,693,2,FALSE,240,10766.4
Land mark agro Seeds,Carrot Seed,Galle,7284,4.3,60,339,1,FALSE,488,5297.4
Purahanda Enterprises,Bean Seed,Matara,6117,4.8,53,179,5,FALSE,245,4289.2
Green Grove Fertilizer,Carrot Seed,Matara,5405,3.8,54,388,3,FALSE,327,6674.0
Land mark agro Seeds,Bean Seed,Matara,6301,4.4,17,631,4,FALSE,264,9467.6
Green Harvest Agriculture,Tomato Seed,Ampara,6999,3.8,28,295,2,TRUE,184,5626.4
Janogali,Potato Seed,Polonnaruwa,5818,3.5,53,279,2,FALSE,336,5447.8
Saduthara Plant nursery,Potato Seed,Monaragala,5804,4.7,8,181,5,TRUE,220,5337.4
Land mark agro Seeds,Tomato Seed,Monaragala,6046,4.2,11,167,1,FALSE,363,5055.6
Land mark agro Seeds,Carrot Seed,Monaragala,7166,4.3,3,700,3,TRUE,481,10094.6
Purahanda Enterprises,Rice Seed,Anuradhapura,3584,3.9,39,320,4,FALSE,390,7019.4
Green Grove Fertilizer,Tomato Seed,Ratnapura,4636,3.5,8,190,4,FALSE,48,5930.6
Land mark agro Seeds,Onion Seed,Polonnaruwa,5636,4.5,29,56,5,TRUE,462,3740.6
Green Harvest Agriculture,Bean Seed,Kandy,5688,4.5,14,467,2,TRUE,32,8129.8
Janogali,Tomato Seed,Matale,5199,4.9,18,551,4,TRUE,134,9073.4
Saduthara Plant nursery,Potato Seed,Monaragala,8004,4.9,39,345,5,FALSE,352,5471.4
Land mark agro Seeds,Potato Seed,Jaffna,7311,4.1,12,515,1,FALSE,391,8012.6
Land mark agro Seeds,Potato Seed,Kandy,8574,3.9,40,648,3,FALSE,333,8283.4
Purahanda Enterprises,Rice Seed,Anuradhapura,3862,4.0,59,480,3,TRUE,319,8105.2
Green Grove Fertilizer,Rice Seed,Badulla,5079,3.8,25,605,1,FALSE,361,9554.4
Land mark agro Seeds,Bean Seed,Jaffna,5509,4.9,15,356,5,FALSE,474,7059.4
Green Harvest Agriculture,Corn Seed,Jaffna,3734,4.0,32,406,5,TRUE,72,7956.4
Janogali,Pumpkin Seed,Galle,5727,4.3,60,445,5,TRUE,247,6980.2
Saduthara Plant nursery,Bean Seed,Ampara,4977,4.1,11,298,1,TRUE,46,6796.2
Land mark agro Seeds,Onion Seed,Monaragala,5705,4.6,48,569,1,TRUE,295,8460.0
Land mark agro Seeds,Potato Seed,Matale,7454,3.6,26,484,5,TRUE,409,7380.4
Purahanda Enterprises,Pumpkin Seed,Anuradhapura,6443,3.9,32,452,2,FALSE,373,7335.8
Green Grove Fertilizer,Carrot Seed,Monaragala,4991,4.5,27,141,5,TRUE,52,4888.6
Land mark agro Seeds,Bean Seed,Nuwara Eliya,3947,4.7,43,61,5,TRUE,92,4180.2
Green Harvest Agriculture,Potato Seed,Ratnapura,5645,4.8,44,191,1,FALSE,379,4778.0
Janogali,Carrot Seed,Nuwara Eliya,6453,4.8,48,381,2,TRUE,51,6274.8
Saduthara Plant nursery,Cabbage Seed,Nuwara Eliya,4071,4.1,17,670,5,FALSE,286,10758.6
Land mark agro Seeds,Bean Seed,Matale,6070,4.4,21,657,2,TRUE,159,9740.0
Land mark agro Seeds,Bean Seed,Ampara,3739,4.9,16,153,1,TRUE,142,5717.4
Purahanda Enterprises,Pumpkin Seed,Nuwara Eliya,4612,3.6,8,222,4,FALSE,233,6257.2
Green Grove Fertilizer,Cabbage Seed,Jaffna,5265,4.4,31,345,4,TRUE,106,6742.0
Land mark agro Seeds,Bean Seed,Jaffna,3677,4.6,3,564,3,TRUE,121,10121.2
Green Harvest Agriculture,Rice Seed,Galle,5439,4.2,14,606,4,FALSE,469,9628.4
Janogali,Potato Seed,Colombo,6387,4.0,18,499,1,TRUE,220,8105.2
Saduthara Plant nursery,Corn Seed,Colombo,4376,3.9,19,437,3,FALSE,19,8272.6
Land mark agro Seeds,Bean Seed,Jaffna,3769,5.0,36,408,3,TRUE,365,7852.4
Land mark agro Seeds,Corn Seed,Hambantota,3468,4.7,16,646,3,FALSE,95,10761.8
Purahanda Enterprises,Carrot Seed,Anuradhapura,6382,4.0,7,540,3,FALSE,368,8737.2
