agro_ecological_zone,soil_ph,nitrogen_N,phosphorus_P,potassium_K,soil_moisture,soil_temp,ambient_temp,humidity,rainfall,altitude,soil_type
Dry,7.88,30.48,13.6,199.73,49.28,31.03,31.86,89.31,4.3,91.08,Calcic Red Yellow Latosols
Intermediate,5.99,42.29,14.25,146.4,26.87,25.81,27.12,86.29,11.8,796.92,Reddish Brown Latosolic
Wet,4.52,116.53,10.08,57.37,62.18,24.18,26.02,51.7,18.95,275.07,Bog and Half-Bog
Dry,6.51,20.4,10.53,72.88,63.71,32.27,34.27,55.09,2.55,134.98,Red Yellow Latosols
Dry,6.61,60.8,11.84,166.94,54.74,29.67,31.14,41.54,2.45,102.46,Reddish Brown Earths
Dry,8.35,15.58,10.53,460.18,51.5,32.51,33.94,51.85,2.15,145.72,Solonchaks
Dry,7.68,40.91,21.66,328.46,7.13,31.24,32.92,51.9,4.08,88.16,Grumusols
Dry,6.06,19.77,6.51,121.06,32.32,27.41,28.02,63.69,0.68,109.5,Non-Calcic Brown
Dry,6.87,44.16,11.66,144.41,36.93,29.01,30.01,92.47,3.81,110.49,Low Humic Gley
Dry,6.92,60.97,22.39,169.18,64.81,28.3,29.3,92.27,0.96,142.82,Reddish Brown Earths
Dry/Wet,6.86,12.57,8.07,52.12,50.47,29.99,31.31,87.0,17.47,221.52,Regosols
Wet,4.93,30.93,9.69,84.59,10.77,19.72,20.34,47.06,17.18,36.03,Red Yellow Podzolic
Dry,8.24,16.87,13.77,376.57,44.21,34.25,35.24,61.7,4.35,136.56,Solodized Solonetz
Dry,8.18,44.08,25.72,328.37,16.88,31.36,32.29,58.98,4.62,119.76,Grumusols
Intermediate,6.99,78.68,26.05,198.73,45.36,27.73,28.66,82.15,14.67,414.8,Alluvial Soils
Dry,6.26,23.02,11.27,104.26,43.01,31.22,32.42,85.12,4.38,74.45,Non-Calcic Brown
Dry,6.1,26.56,11.7,106.11,38.64,30.36,31.4,86.04,3.53,129.96,Non-Calcic Brown
Dry/Wet,7.37,12.16,6.2,49.42,42.99,30.57,31.74,86.92,23.4,436.45,Regosols
Wet,5.01,38.2,10.13,83.56,51.85,22.46,23.17,82.86,25.79,368.79,Red Yellow Podzolic
Dry/Wet,7.14,12.13,7.82,47.89,65.67,31.42,33.04,74.23,19.16,47.33,Regosols
Intermediate,5.83,71.77,31.73,165.2,47.73,25.45,27.03,62.49,11.51,771.17,Alluvial Soils
Wet,5.13,36.86,6.31,113.3,19.79,24.68,25.31,91.92,11.54,368.78,Red Yellow Podzolic
Dry,6.82,55.18,15.8,163.77,35.83,29.66,30.35,74.53,0.72,43.93,Reddish Brown Earths
Dry,6.4,23.61,8.91,74.74,60.5,32.82,34.73,77.91,0.77,106.58,Red Yellow Latosols
Dry,6.98,49.17,13.71,134.28,27.19,28.99,30.18,53.04,1.04,73.14,Low Humic Gley
Dry,6.53,20.88,8.95,84.19,58.91,30.16,31.54,77.13,3.27,33.82,Red Yellow Latosols
Wet,4.88,33.97,6.77,81.47,52.11,20.8,21.8,46.52,18.38,135.01,Red Yellow Podzolic
Dry,8.39,19.15,16.43,357.79,17.01,29.69,30.88,74.49,1.76,72.86,Solodized Solonetz
Dry,6.48,51.67,15.18,150.44,14.14,31.22,33.05,83.25,0.71,106.32,Reddish Brown Earths
Dry,6.62,63.31,18.44,185.06,46.51,30.77,32.28,93.47,3.13,81.46,Reddish Brown Earths
Dry,6.51,23.16,9.85,75.99,13.14,30.52,31.59,43.82,0.87,60.96,Red Yellow Latosols
Dry,6.06,24.78,10.33,116.9,23.68,29.33,30.0,63.68,4.13,35.83,Non-Calcic Brown
Dry,8.49,24.89,18.31,342.21,51.32,32.1,33.15,41.76,1.13,99.22,Solodized Solonetz
Dry,6.32,46.39,15.65,127.02,52.26,29.79,30.52,68.3,2.05,76.91,Low Humic Gley
Wet,4.57,102.14,11.27,54.13,20.51,26.06,27.16,55.71,25.88,105.1,Bog and Half-Bog
Wet,4.91,33.75,8.3,84.68,12.04,21.5,22.99,44.39,13.62,22.46,Red Yellow Podzolic
Dry,8.54,11.67,10.4,357.55,61.15,30.13,31.24,81.12,3.46,132.55,Solonchaks
Dry,8.9,18.02,13.75,377.9,34.67,30.05,30.79,85.22,0.91,138.8,Solodized Solonetz
Dry,8.56,9.68,10.58,450.1,7.41,29.59,31.0,63.89,4.54,142.04,Solonchaks
Wet,5.68,37.36,15.07,129.38,11.6,25.08,25.66,62.84,14.32,193.37,Immature Brown Loams
Dry,8.62,20.7,13.32,371.98,18.14,29.77,31.25,47.24,0.26,137.24,Solodized Solonetz
Wet,5.46,43.19,12.99,129.3,32.78,21.77,22.64,66.9,27.59,351.87,Immature Brown Loams
Dry,6.41,49.7,17.3,169.02,6.27,28.9,30.83,59.22,4.88,126.42,Reddish Brown Earths
Dry/Wet,7.13,11.09,6.53,53.33,27.88,29.07,30.79,42.95,23.51,35.68,Regosols
